date,AAPL,MSFT,JPM,AMZN,F,TSLA,GM,BAC,EPU
2015-01-01,0.29005155043269876,0.2783244894674341,0.27380454951606104,0.2701928353136916,0.27444178447139583,0.37903454544562387,0.26375116990690806,0.3022997769412534,120.54422995171836
2015-02-01,0.31130238796075405,0.37403397111140385,0.2771095757752764,0.44194539772787966,0.23762698080684985,0.3626335011820304,0.27765418732421104,0.33035328358083443,87.60946941534985
2015-03-01,0.2381272227034876,0.23637324969273807,0.19586320291999648,0.2960124463223679,0.19506582533049477,0.35556844937939797,0.2214787612467581,0.2309538824239432,95.97896260680174
2015-04-01,0.20566213530343205,0.2351485218204427,0.17051550354178385,0.24105022478235347,0.16659729326835993,0.35823364556968107,0.18586338463990887,0.16660755824529844,103.5449569820734
2015-05-01,0.22153167146704883,0.350236741707063,0.14629560777200595,0.4337521936515364,0.134653763746567,0.3119205588253485,0.17191083637657623,0.14421713212655296,102.31869650214142
2015-06-01,0.17950828891353757,0.21220275237377975,0.12928467886477066,0.2285649222187125,0.15107630162967184,0.21526722947500765,0.14611928904027485,0.16225670407291218,115.88028665124163
2015-07-01,0.18328045300544493,0.1644955801596993,0.1677933495482739,0.23514262462855848,0.17686688197590889,0.3264057573123099,0.23730896370875595,0.21814526456417263,98.73479281421764
2015-08-01,0.3113950411171546,0.23646402306911546,0.18793225693239496,0.3586221812025019,0.2319491261063979,0.4864388733250512,0.2741861038236544,0.24852417260168017,156.50362976849812
2015-09-01,0.4106162512160775,0.3681953340940382,0.32907279442275206,0.411021960853217,0.3015784244657416,0.5085253794203192,0.34038253823891396,0.3603268483308253,171.9326776079735
2015-10-01,0.27326870824245525,0.27155424798331934,0.2570308345272039,0.3217568271730388,0.27909260881647907,0.36656711004902237,0.29157509768202017,0.27287763047346497,110.70193773826144
2015-11-01,0.2636317512647347,0.3220407504371626,0.21737987783216295,0.2882807737446446,0.23047813104656867,0.4911324660465519,0.25473917418853853,0.2719388943859664,89.58371043936737
2015-12-01,0.25134731409434097,0.22396075351877062,0.22898041252913207,0.2551602185342075,0.21951899107233003,0.4251459682518756,0.22611662929448115,0.26917589571220446,101.96343285162988
2016-01-01,0.28238784534266287,0.25489231373360866,0.28008101547600256,0.3518427791618003,0.2963294831114234,0.39142912507738997,0.2610235316638223,0.30100219879872464,154.8573305883009
2016-02-01,0.36972915847782606,0.3367939561270887,0.3595480968345593,0.5373975181726596,0.32050998360382355,0.5400799316606067,0.27216106012437913,0.4371129934776466,148.32178884302218
2016-03-01,0.25635234384023736,0.27941976195020235,0.3732010503733688,0.3960072548592864,0.3144554389917371,0.5546790149493882,0.2761917326179983,0.46470123095810256,130.49015932384305
2016-04-01,0.19522615659099188,0.22034207626634508,0.2234684936731698,0.23281946129381778,0.2432271420990095,0.3716075365230499,0.2323720406288092,0.2835048738003503,96.41341581246452
2016-05-01,0.27436039077528784,0.2759805729290221,0.21157157611803226,0.3516070724968645,0.23333833378772423,0.35585023790507403,0.22510965048973114,0.2748066720909268,96.22233274231512
2016-06-01,0.21526316545442306,0.2153065675639851,0.21157599992163026,0.23633730438242787,0.21328606925323923,0.37683788170415505,0.21414712180387713,0.290738487206605,233.9561029807024
2016-07-01,0.1832982627595002,0.24917439579286665,0.31608702685446505,0.18045320906993248,0.3050022008864138,0.4483271324228569,0.267035645493515,0.4097589827631986,164.45840052945698
2016-08-01,0.22970538105327942,0.19120966644537882,0.17461316941634034,0.13241228271089633,0.33516106201766216,0.27243813019896373,0.24280744344891877,0.2640976716133317,106.88562278807385
2016-09-01,0.2072194750024983,0.10526790417381611,0.10444814165919276,0.14852352322645443,0.21510235365134392,0.2524518309237988,0.19575227233131617,0.17694664303589036,86.34353837572384
2016-10-01,0.20318220494446151,0.1535080031751932,0.13358654718804255,0.1781054943354999,0.17895634683133302,0.3034879655859027,0.20025710083716688,0.1906021122900856,108.06412479274996
2016-11-01,0.17062639481532424,0.19983962740593847,0.20495771359436213,0.28392818825672733,0.1811857114556343,0.30267897098356283,0.26925233938116166,0.25253041191435954,254.1013277977594
2016-12-01,0.17617241397928207,0.19260745008518962,0.22560701847070477,0.2677388505605871,0.24602744515884312,0.3300062597234222,0.33265778476087715,0.31255814004278487,161.42478617964736
2017-01-01,0.10059623308994921,0.13747496121923064,0.14847280574185234,0.18057725172482958,0.2790016126828938,0.27879992868994746,0.30483183503636063,0.2408098274777549,195.0406301487559
2017-02-01,0.18357947152862816,0.126178659116786,0.18653006671771055,0.1778643912575137,0.2287532592229281,0.26519870997646866,0.29366380707537515,0.23921215063863716,177.77771703078386
2017-03-01,0.14438426768415555,0.11105729293937418,0.17430836100216585,0.12602039285416683,0.1677245902873083,0.35980713552830634,0.24733276489284456,0.23107203349777428,154.6096950716648
2017-04-01,0.11149190026092488,0.08877303016575125,0.16171102851316385,0.13212264464695866,0.19340028605991028,0.3757654542881876,0.2014382517503861,0.24591500480851677,157.67652276048602
2017-05-01,0.15018227164075554,0.11780796185154639,0.17712005100074532,0.15407196036916157,0.20217952900870106,0.3750955619798814,0.19269147657868402,0.233365659232574,129.88805773509438
