date,EPU,credit_spread,yield_curve_slope,bbb_aaa_spread
2005-01-01,66.73432810959338,1.8,1.0,0.6599999999999993
2005-02-01,51.69568735068457,1.65,0.78,0.6200000000000001
2005-03-01,49.30863986934948,1.56,0.77,0.6599999999999993
2005-04-01,78.39587328372458,1.71,0.69,0.7199999999999998
2005-05-01,75.09076519417845,1.86,0.5,0.8599999999999994
2005-06-01,82.0055894646693,1.86,0.36,0.9000000000000004
2005-07-01,71.93954705749206,1.78,0.31,0.8900000000000006
2005-08-01,59.617232439781645,1.7,0.22,0.8700000000000001
2005-09-01,105.76985636920044,1.83,0.25,0.9000000000000004
2005-10-01,79.82999973324895,1.83,0.19,0.9500000000000002
2005-11-01,60.06785222693027,1.86,0.12,0.9699999999999998
2005-12-01,70.02675640647561,1.85,0.06,0.9500000000000002
2006-01-01,75.0792378739031,1.82,0.02,0.9500000000000002
2006-02-01,69.49174527895298,1.7,-0.1,0.9199999999999999
2006-03-01,55.00807287658312,1.69,-0.01,0.8799999999999999
2006-04-01,81.65172364535397,1.69,0.1,0.8399999999999999
2006-05-01,67.80979905027529,1.64,0.14,0.7999999999999998
2006-06-01,82.58628252380929,1.67,-0.02,0.8900000000000006
2006-07-01,84.47445648144311,1.67,-0.03,0.9100000000000001
2006-08-01,71.51509490076546,1.71,-0.03,0.9100000000000001
2006-09-01,61.75134643114063,1.71,-0.05,0.9199999999999999
2006-10-01,55.62951083270927,1.7,-0.07,0.9100000000000001
2006-11-01,49.59913098535966,1.61,-0.15,0.8700000000000001
2006-12-01,51.03903886406231,1.65,-0.11,0.8999999999999995
2007-01-01,74.5100265359479,1.58,-0.12,0.9399999999999995
2007-02-01,50.86002527277037,1.55,-0.13,0.8900000000000006
2007-03-01,72.52986574387415,1.7,-0.01,0.9699999999999998
2007-04-01,59.84139351214012,1.7,0.03,0.9199999999999999
2007-05-01,71.13732014761729,1.64,-0.02,0.9199999999999999
2007-06-01,68.75923280644103,1.59,0.12,0.9100000000000001
2007-07-01,44.782750655359,1.65,0.19,0.9199999999999999
2007-08-01,90.0072966190591,1.98,0.36,0.8600000000000003
2007-09-01,109.89265546447362,2.07,0.51,0.8499999999999996
2007-10-01,90.6400758479256,1.95,0.56,0.8200000000000003
2007-11-01,106.5661652148996,2.25,0.81,0.96
2007-12-01,116.99089720853152,2.55,0.98,1.1600000000000001
2008-01-01,177.04220662091018,2.8,1.27,1.21
2008-02-01,108.31473674539728,3.09,1.76,1.29
2008-03-01,114.47457606203336,3.38,1.89,1.38
2008-04-01,98.1976986520828,3.29,1.63,1.42
2008-05-01,88.67343413142108,3.05,1.43,1.3599999999999994
